794964,1229569
72430,14958
50638,11390
46185,13436
55625,15680
112571,13820
108098,16780
100818,16949
268238,15395
140480,14114
116090,15813
274214,32593
146178,33770
185658,11137
168322,11840
223607,11663
128971,11437
132307,11983
198886,10202
129123,13853
317383,16038
162273,8071
51819,10855
49227,10627
48514,28393
159644,9885
80734,10445
74639,10923
125113,11705
1245174,10746
211370,10663
42762,10459
44413,7859
41386,11326
51935,12054
44700,11158
44848,9885
104765,10055
44161,7241
43913,5691
43340,10350
44143,7008
45923,9275
104795,5449
80774,9379
46776,11616
107874,9618
45855,5496
48229,9733
42143,10334
76600,8633
98097,9633
110562,5035
194968,4723
110427,9766
175514,5856
97035,5799
113814,9827
138266,9933
111985,9330
86616,7008
91773,8886
84875,9593
91725,35150
226252,11047
219138,9836
59097,7734
36099,20330
49209,19180
47569,9869
39179,5024
39082,5030
38525,4732
62632,4534
41595,4986
40922,4919
56951,4696
37799,4837
30587,10000
29240,6320
30425,6262
32878,6781
30528,5975
35110,8681
40725,5425
39808,5702
37133,5800
43659,9440
41154,6015
48356,9909
37453,5615
41979,9262
63476,6371
38922,10074
31110,5786
81710,21437
35053,14442
34339,9150
38205,8973
42788,8861
31364,9526
29788,6734
33816,10157
31802,5232
27832,10887
30191,8817
38095,6083
36626,9793
33197,6040
33756,39538
32735,6799
33953,10100
35204,8490
47373,9345
33309,6312
32887,6484
67531,6017
77023,5339
74377,5552
94346,9254
32793,5793
54213,5439
46859,5133
81275,5291
109325,5122
96390,9865
82041,5397
91310,11816
107840,10421
94700,25425
151257,9492
98361,10668
107901,5572
96016,5105
87878,8806
88620,5553
107087,37355
100842,17022
173668,14567
78639,50834
157030,20496
115039,29375
116580,28866
133056,19934
36320,21971
33918,15110
40424,6108
34279,41347
33874,7716
44628,5541
31331,5187
35595,4518
33356,9611
32538,5566
26002,8448
27323,6008
48173,5682
31251,29462
31188,6016
26977,6380
24485,5739
24265,9722
25946,5330
39750,8947
35414,5076
196318,4309
40070,10549
33400,5627
38485,9260
35035,5629
44066,5538
33619,5351
34805,25856
32921,23417
35186,45460
30778,10877
31206,5903
31179,9356
31341,8838
35357,9366
34261,5705
35410,5406
27664,5229
30505,5113
41053,4579
29961,9391
32264,5440
54090,4795
37750,4699
31032,4632
32146,4760
32097,4975
36019,9415
30357,5162
56225,4592
30336,7994
57734,11907
30812,9296
47212,5986
27762,9466
48957,5080
33498,60267
35570,5401
38148,4960
35919,10400
65504,6368
29750,5061
81445,4713
76266,9025
31111,5439
35326,9537
31950,11418
30110,9056
31350,5777
31140,9416
32338,6380
33208,9062
34137,8527
36968,8921
33300,8954
67917,12402
30631,8415
35584,8072
37756,8322
33674,8724
30011,25986
31736,8901
31352,5076
29931,5157
39263,8559
29646,7998
31430,9083
30434,11130
31632,9742
30392,8195
31191,9202
41232,13812
31723,12105
33397,5144
29782,4560
41641,7944
397096,4435
36182,4110
38087,8716
38863,4832
41075,4660
97641,4395
96099,4572
95415,4600
36299,4378
44132,8885
43040,6168
32956,5957
96218,5254
32080,5547
167800,8010
33345,5267
29079,4882
26680,8462
24972,8199
26808,8585
28815,9045
32215,8612
29957,6087
30157,9000
32187,7782
40052,10671
37033,5237
34564,5636
31377,9035
30226,5383
50118,11765
33292,10591
32665,8399
31229,63237
40103,6306
34328,5025
70243,7102
54843,9869
75890,5532
74970,9807
29431,5378
30471,4619
56850,5574
30554,4992
30038,8757
61180,6018
34586,5205
37120,4885
34209,4237
104504,4096
100391,3990
521478,10492
164398,13295
122606,11631
102171,10952
103924,7271
42538,9679
33143,5864
40416,4604
80545,9630
30861,9872
31582,6198
48944,9149
34986,6447
40877,6118
30190,5459
38188,10613
29269,9619
28523,5852
29586,6472
34260,5582
39497,6125
34145,63038
42693,11503
35318,7385
33822,6085
27227,10635
29768,9003
31581,6924
30020,9603
43317,10074
30048,8997
31315,9087
32535,9272
33867,7812
31482,11148
31599,7314
33328,8629
31660,15553
39388,8065
33965,11824
43964,6559
31048,8632
31606,5820
35678,5379
34556,9146
39480,5555
32642,8511
43107,6195
30027,9817
53730,8599
43145,5319
35085,4793
31501,4712
34778,4489
43319,8585
32291,5155
31022,5286
28563,4670
34280,4953
38081,7169
32873,22339
32852,12251
31493,9764
29789,9594
38871,6216
31647,10012
34598,6796
32916,5657
33645,9545
